ckpt_filename,validity,uniqueness,diversity,quality,quality2,sample_time,status,gpu_id
"0-90000.ckpt",0.999000,0.950000,0.829,0.822000,0.942000,14.000,OK,3
"0-98000.ckpt",1.000000,0.934000,0.829,0.798000,0.931000,15.398,OK,3
"1-209000.ckpt",1.000000,0.933000,0.832,0.783000,0.931000,13.897,OK,3
"1-217000.ckpt",1.000000,0.934000,0.830,0.783000,0.930000,14.087,OK,3
"1-225000.ckpt",1.000000,0.927000,0.829,0.778000,0.922000,13.939,OK,3
"1-233000.ckpt",1.000000,0.933000,0.830,0.776000,0.918000,14.091,OK,3
"1-241000.ckpt",1.000000,0.932000,0.829,0.777000,0.922000,13.622,OK,3
"1-249000.ckpt",1.000000,0.931000,0.829,0.773000,0.916000,13.676,OK,3
"1-257000.ckpt",1.000000,0.932000,0.827,0.785000,0.930000,13.681,OK,3
"1-265000.ckpt",0.999000,0.924000,0.827,0.784000,0.932000,13.854,OK,3
"1-273000.ckpt",1.000000,0.934000,0.825,0.787000,0.937000,14.050,OK,3
"1-281000.ckpt",1.000000,0.928000,0.830,0.795000,0.928000,14.168,OK,3
"1-289000.ckpt",1.000000,0.934000,0.827,0.802000,0.935000,13.828,OK,3
"1-297000.ckpt",1.000000,0.931000,0.831,0.784000,0.927000,13.781,OK,3
"1-305000.ckpt",1.000000,0.921000,0.831,0.769000,0.920000,13.625,OK,3
"0-101000.ckpt",1.000000,0.957000,0.826,0.817000,0.949000,15.133,OK,4
"0-109000.ckpt",0.999000,0.952000,0.831,0.802000,0.931000,13.733,OK,4
"0-116000.ckpt",0.998000,0.946000,0.830,0.793000,0.939000,13.723,OK,4
"0-123000.ckpt",1.000000,0.939000,0.828,0.815000,0.939000,13.968,OK,4
"0-130000.ckpt",1.000000,0.934000,0.829,0.786000,0.925000,13.539,OK,4
"0-138000.ckpt",1.000000,0.929000,0.827,0.793000,0.934000,13.840,OK,4
"0-145000.ckpt",1.000000,0.933000,0.830,0.765000,0.924000,13.927,OK,4
"0-151000.ckpt",1.000000,0.933000,0.826,0.778000,0.924000,14.182,OK,4
"0-159000.ckpt",1.000000,0.932000,0.830,0.776000,0.927000,14.482,OK,4
"0-166000.ckpt",1.000000,0.938000,0.829,0.785000,0.930000,13.940,OK,4
"0-173000.ckpt",1.000000,0.932000,0.827,0.783000,0.917000,13.914,OK,4
"0-180000.ckpt",1.000000,0.936000,0.827,0.782000,0.919000,13.958,OK,4
"0-188000.ckpt",1.000000,0.921000,0.830,0.784000,0.928000,13.955,OK,4
"0-195000.ckpt",1.000000,0.935000,0.832,0.773000,0.926000,13.993,OK,4
"0-201000.ckpt",1.000000,0.922000,0.831,0.809000,0.935000,13.992,OK,4
"0-27000.ckpt",0.996000,0.912000,0.830,0.815000,0.926000,14.289,OK,4
"0-34000.ckpt",0.998000,0.929000,0.830,0.824000,0.926000,13.798,OK,4
"0-41000.ckpt",0.999000,0.939000,0.832,0.831000,0.939000,13.598,OK,4
"0-49000.ckpt",0.999000,0.932000,0.828,0.800000,0.934000,13.940,OK,4
"0-55000.ckpt",0.999000,0.932000,0.830,0.799000,0.926000,13.760,OK,4
"0-62000.ckpt",0.997000,0.925000,0.833,0.776000,0.911000,13.536,OK,4
"0-7000.ckpt",1.000000,0.932000,0.813,0.844000,0.942000,13.670,OK,4
"0-77000.ckpt",1.000000,0.931000,0.834,0.794000,0.927000,14.015,OK,4
"0-84000.ckpt",0.998000,0.925000,0.831,0.792000,0.918000,13.932,OK,4
"0-91000.ckpt",0.999000,0.932000,0.828,0.809000,0.929000,13.860,OK,4
"0-99000.ckpt",1.000000,0.940000,0.830,0.805000,0.929000,13.708,OK,4
"1-210000.ckpt",1.000000,0.933000,0.833,0.778000,0.928000,13.450,OK,4
"1-218000.ckpt",1.000000,0.932000,0.830,0.792000,0.933000,13.763,OK,4
"1-226000.ckpt",1.000000,0.929000,0.827,0.777000,0.922000,14.559,OK,4
"1-234000.ckpt",1.000000,0.934000,0.829,0.784000,0.925000,14.238,OK,4
"1-242000.ckpt",0.999000,0.929000,0.830,0.770000,0.918000,14.100,OK,4
"1-250000.ckpt",1.000000,0.932000,0.828,0.779000,0.920000,13.732,OK,4
"1-258000.ckpt",1.000000,0.928000,0.827,0.770000,0.921000,13.682,OK,4
"1-266000.ckpt",1.000000,0.929000,0.826,0.792000,0.934000,13.627,OK,4
"1-274000.ckpt",1.000000,0.932000,0.825,0.782000,0.933000,13.836,OK,4
"1-282000.ckpt",1.000000,0.926000,0.829,0.790000,0.926000,14.158,OK,4
"1-290000.ckpt",1.000000,0.931000,0.827,0.804000,0.933000,14.117,OK,4
"1-298000.ckpt",1.000000,0.927000,0.831,0.779000,0.921000,13.326,OK,4
"best.ckpt",1.000000,0.926000,0.829,0.786000,0.929000,13.728,OK,4
"0-102000.ckpt",1.000000,0.957000,0.829,0.806000,0.948000,14.387,OK,5
"0-11000.ckpt",0.999000,0.954000,0.821,0.857000,0.952000,13.611,OK,5
"0-117000.ckpt",0.998000,0.948000,0.830,0.803000,0.942000,13.533,OK,5
"0-124000.ckpt",1.000000,0.938000,0.830,0.802000,0.937000,13.626,OK,5
"0-131000.ckpt",1.000000,0.934000,0.831,0.777000,0.920000,13.793,OK,5
"0-139000.ckpt",0.999000,0.922000,0.827,0.760000,0.919000,13.653,OK,5
"0-146000.ckpt",1.000000,0.934000,0.830,0.774000,0.929000,13.765,OK,5
"0-152000.ckpt",1.000000,0.935000,0.827,0.773000,0.926000,13.357,OK,5
"0-16000.ckpt",1.000000,0.967000,0.826,0.856000,0.965000,13.607,OK,5
"0-167000.ckpt",1.000000,0.941000,0.829,0.785000,0.932000,13.481,OK,5
"0-174000.ckpt",1.000000,0.942000,0.827,0.785000,0.922000,13.512,OK,5
"0-181000.ckpt",1.000000,0.930000,0.828,0.782000,0.920000,14.145,OK,5
"0-189000.ckpt",1.000000,0.927000,0.830,0.761000,0.922000,14.327,OK,5
